sent10	Tuvia Tzafir	Live_In	Israeli	(Israel television rejected a skit by comedian Tuvia Tzafir that attacked public apathy by depicting an Israeli family watching TV while a fire raged outside .)
sent27	Lazio	Live_In	Umbria	(The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .)
sent27	Lazio	Live_In	Italy	(The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .)
sent27	Lazio	Live_In	Campania province	(The ANSA news agency said the operation involved police in Umbria and Lazio provinces in central Italy and Campania province in the south , without specifying exact arrest locations .)
sent28	Lazio	Live_In	Rome	(Rome is in Lazio province and Naples in Campania .)
sent28	Lazio	Live_In	Naples	(Rome is in Lazio province and Naples in Campania .)
sent28	Lazio	Live_In	Campania	(Rome is in Lazio province and Naples in Campania .)
sent34	Reagan	Live_In	America	(Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .)
sent34	Reagan	Live_In	American	(Reagan sounded positive notes reminiscent of earlier speeches throughout his political career _ the pre-eminent position of ` ` We the People ' ' in the American system , the image of America as a shining ` ` city upon a hill , ' ' the importance of paying more attention to American history .)
sent35	Reagan	Live_In	Washington	(There was no mention of the ` ` iron triangle ' ' of members of Congress , the news media and special interest groups who , in a speech to political appointees in Washington on Dec. 13 , Reagan claimed had prevented his administration from balancing the federal budget .)
sent37	Reagan	Live_In	Contras	(There was no mention at all of the Contras , the arms sales to Iran or the enormous trade deficits that during Reagan 's tenure have turned America into the world 's biggest debtor nation .)
sent37	Reagan	Live_In	Iran	(There was no mention at all of the Contras , the arms sales to Iran or the enormous trade deficits that during Reagan 's tenure have turned America into the world 's biggest debtor nation .)
sent50	Nixon	Live_In	Texas	(A Texas professor who helped mount President Nixon 's unsuccessful attempt to resist a key Watergate subpoena is being considered for the post of U.S. solicitor .)
sent52	Ralph K. Winter	Live_In	New York City	(Also being considered are Judge Ralph K. Winter of the 2nd U.S. Circuit Court of Appeals in New York City and Judge Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia , said the source , who spoke on condition of anonymity .)
sent52	Ralph K. Winter	Live_In	the District of Columbia	(Also being considered are Judge Ralph K. Winter of the 2nd U.S. Circuit Court of Appeals in New York City and Judge Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia , said the source , who spoke on condition of anonymity .)
sent52	Kenneth Starr	Live_In	New York City	(Also being considered are Judge Ralph K. Winter of the 2nd U.S. Circuit Court of Appeals in New York City and Judge Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia , said the source , who spoke on condition of anonymity .)
sent52	Kenneth Starr	Live_In	the District of Columbia	(Also being considered are Judge Ralph K. Winter of the 2nd U.S. Circuit Court of Appeals in New York City and Judge Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia , said the source , who spoke on condition of anonymity .)
sent68	Wright	Live_In	Arizona	(But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' ')
sent77	Nikita Khrushchev	Live_In	Cuban	(An enraged Nikita Khrushchev instructed Soviet ships to ignore President Kennedy 's naval blockade during the Cuban missile crisis , but the order was reversed just hours before an inevitable confrontation , according to a new book .)
sent77	Kennedy	Live_In	Soviet	(An enraged Nikita Khrushchev instructed Soviet ships to ignore President Kennedy 's naval blockade during the Cuban missile crisis , but the order was reversed just hours before an inevitable confrontation , according to a new book .)
sent77	Kennedy	Live_In	Cuban	(An enraged Nikita Khrushchev instructed Soviet ships to ignore President Kennedy 's naval blockade during the Cuban missile crisis , but the order was reversed just hours before an inevitable confrontation , according to a new book .)
sent78	James G. Blight	Live_In	Cuba	(James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' ')
sent78	David A. Welch	Live_In	Cuba	(James G. Blight and David A. Welch of Harvard University 's John F. Kennedy School of Government say that ` ` if this order had held , war between the superpowers would probably have commenced at sea , shortly after 10 o 'clock on Wednesday morning , Oct. 24 , 1962 , several hundred miles off the coast of Cuba. ' ')
sent83	Kennedy	Live_In	Americans	(The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .)
sent83	Kennedy	Live_In	Soviets	(The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .)
sent83	Kennedy	Live_In	Soviets	(The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .)
sent83	Kennedy	Live_In	Americans	(The book , ` ` On the Brink : Americans and Soviets Reexamine the Cuban Missile Crisis , ' ' is based largely on two 1987 conferences sponsored by Harvard _ one that featured top Kennedy advisers and U.S. scholars and a second in which three Soviets joined the Americans .)
sent88	Aleksander Alekseev	Live_In	Cuba	(Their theory that the warheads were blocked by the quarantine is at odds with a recent disclosure by Aleksander Alekseev , the former ambassador to Cuba , who said in a recent Soviet magazine that 42 medium-range missiles were fully operational .)
sent89	Alekseev	Live_In	Moscow	(But the authors suggested that Alekseev , along with others in the Soviet diplomatic corps , were not receiving accurate information from Moscow about the missiles .)
sent105	Franca Chlistovsky	Live_In	Milan	(However , Franca Chlistovsky , who heads the Brera metereologic institute in Milan , said this winter 's dry spell was not exceptional and several worse years have been registered since 1950 .)
